Company,Ticker,Date,Segement,Call,Price
NXP Semiconductors (NXPI),NXPI,12/3/2018,Discussed Stock,Positive Mention ,85.67
Nucor (NUE),NUE,12/3/2018,Lightning Round ,Buy Recommendations ,61.19
Nike (NKE),NKE,12/3/2018,Discussed Stock,Buy Recommendations ,77.94
National Fuel Gas (NFG),NFG,12/3/2018,Lightning Round ,Buy Recommendations ,54.88
McDonald's (MCD),MCD,12/3/2018,Discussed Stock,Buy Recommendations ,185.37
Mastercard (MA),MA,12/3/2018,Discussed Stock,Buy Recommendations ,209.86
Coca-Cola (KO),KO,12/3/2018,Discussed Stock,Buy Recommendations ,49.69
Kimberly-Clark (KMB),KMB,12/3/2018,Discussed Stock,Buy Recommendations ,113.19
Johnson & Johnson (JNJ),JNJ,12/3/2018,Discussed Stock,Buy Recommendations ,146.21
Harsco (HSC),HSC,12/3/2018,Lightning Round ,Buy Recommendations ,26.61
Hortonworks (HDP),HDP,12/3/2018,Lightning Round ,Buy Recommendations ,16.07
Groupon (GRPN),GRPN,12/3/2018,Guest Interview ,Buy Recommendations ,3.12
Exelon (EXC),EXC,12/3/2018,Lightning Round ,Buy Recommendations ,46.48
Deere & Company (DE),DE,12/3/2018,Discussed Stock,Buy Recommendations ,162.21
CVS Health (CVS),CVS,12/3/2018,Discussed Stock,Buy Recommendations ,79.52
Coupa Software (COUP),COUP,12/3/2018,Lightning Round ,Buy Recommendations ,68.8
Cummins (CMI),CMI,12/3/2018,Discussed Stock,Buy Recommendations ,152.47
Clorox (CLX),CLX,12/3/2018,Discussed Stock,Buy Recommendations ,165.29
Caterpillar (CAT),CAT,12/3/2018,Discussed Stock,Buy Recommendations ,138.95
Boeing (BA),BA,12/3/2018,Discussed Stock,Buy Recommendations ,359.96
American Express (AXP),AXP,12/3/2018,Discussed Stock,Buy Recommendations ,112.36
Apple (AAPL),AAPL,12/3/2018,Discussed Stock,Buy Recommendations ,184.82
Toll Brothers (TOL),TOL,12/4/2018,Discussed Stock,Negative Mention ,32.99
TE Connectivity (TEL),TEL,12/4/2018,Lightning Round ,Negative Mention ,74.17
Anaplan (PLAN),PLAN,12/4/2018,Guest Interview ,Buy Recommendations ,27.66
Marathon Petroleum (MPC),MPC,12/4/2018,Guest Interview ,Buy Recommendations ,63.34
General Motors (GM),GM,12/4/2018,Discussed Stock,Negative Mention ,36.52
Global Blood Therapeutics (GBT),GBT,12/4/2018,Lightning Round ,Buy Recommendations ,45.45
Coupa Software (COUP),COUP,12/4/2018,Guest Interview ,Buy Recommendations ,61
Barnes & Noble (BKS),BKS,12/4/2018,Lightning Round ,Sell Recommendations ,6.94
Booz Allen Hamilton (BAH),BAH,12/4/2018,Lightning Round ,Negative Mention ,49.5
Activision Blizzard (ATVI),ATVI,12/4/2018,Lightning Round ,Buy Recommendations ,46.52
Adobe Systems (ADBE),ADBE,12/4/2018,Lightning Round ,Buy Recommendations ,245.82
Accenture (ACN),ACN,12/4/2018,Lightning Round ,Buy Recommendations ,164.21
Yum! Brands (YUM),YUM,12/6/2018,Guest Interview ,Buy Recommendations ,91.5
U.S. Concrete (USCR),USCR,12/6/2018,Guest Interview ,Buy Recommendations ,38.11
PRA Health Sciences (PRAH),PRAH,12/6/2018,Lightning Round ,Buy Recommendations ,106.34
Ollie's Bargain Outlet (OLLI),OLLI,12/6/2018,Guest Interview ,Buy Recommendations ,71.9
Kroger (KR),KR,12/6/2018,Discussed Stock,Positive Mention ,29.56
JPMorgan Chase (JPM),JPM,12/6/2018,Lightning Round ,Buy Recommendations ,105.19
Funko (FNKO),FNKO,12/6/2018,Lightning Round ,Positive Mention ,14.81
Charles River Labs (CRL),CRL,12/6/2018,Lightning Round ,Buy Recommendations ,130.84
Costco (COST),COST,12/6/2018,Discussed Stock,Buy Recommendations ,233.2
Zuora (ZUO),ZUO,12/10/2018,Lightning Round ,Buy Recommendations ,18.05
Tech Data (TECD),TECD,12/10/2018,Guest Interview ,Buy Recommendations ,86.56
Splunk (SPLK),SPLK,12/10/2018,Guest Interview ,Buy Recommendations ,108.4
Principal Financial Group (PFG),PFG,12/10/2018,Lightning Round ,Buy Recommendations ,42.93
Moderna (MRNA),MRNA,12/10/2018,Featured Stock,Buy Recommendations ,0.31
Home Depot (HD),HD,12/10/2018,Lightning Round ,Positive Mention ,171.69
General Electric (GE),GE,12/10/2018,Lightning Round ,Sell Recommendations ,6.93
Cisco Systems (CSCO),CSCO,12/10/2018,Lightning Round ,Buy Recommendations ,46.86
Advanced Micro Devices (AMD),AMD,12/10/2018,Lightning Round ,Buy Recommendations ,19.99
Axon Enterprise (AAXN),AAXN,12/10/2018,Lightning Round ,Buy Recommendations ,44.3
Apple (AAPL),AAPL,12/10/2018,Discussed Stock,Buy Recommendations ,169.6
Zillow (Z),Z,12/11/2018,Lightning Round ,Sell Recommendations ,36.01
Workday (WDAY),WDAY,12/11/2018,Discussed Stock,Buy Recommendations ,162.94
VMware (VMW),VMW,12/11/2018,Discussed Stock,Buy Recommendations ,164.5
Take-Two Interactive (TTWO),TTWO,12/11/2018,Lightning Round ,Buy Recommendations ,105.42
Tech Data (TECD),TECD,12/11/2018,Discussed Stock,Buy Recommendations ,85.09
AT&T (T),T,12/11/2018,Discussed Stock,Buy Recommendations ,29.7
Constellation Brands (STZ),STZ,12/11/2018,Discussed Stock,Buy Recommendations ,188.77
Shutterstock (SSTK),SSTK,12/11/2018,Lightning Round ,Buy Recommendations ,37.82
Splunk (SPLK),SPLK,12/11/2018,Discussed Stock,Buy Recommendations ,106.29
PayPal (PYPL),PYPL,12/11/2018,Lightning Round ,Buy Recommendations ,85.51
Palo Alto Networks (PANW),PANW,12/11/2018,Discussed Stock,Buy Recommendations ,184.42
NVIDIA (NVDA),NVDA,12/11/2018,Discussed Stock,Negative Mention ,148.19
Altria (MO),MO,12/11/2018,Discussed Stock,Negative Mention ,53.95
Masimo (MASI),MASI,12/11/2018,Guest Interview ,Buy Recommendations ,109.09
Mastercard (MA),MA,12/11/2018,Lightning Round ,Buy Recommendations ,197.74
GreenSky (GSKY),GSKY,12/11/2018,Lightning Round ,Negative Mention ,9
FireEye (FEYE),FEYE,12/11/2018,Discussed Stock,Buy Recommendations ,18.86
Electronic Arts (EA),EA,12/11/2018,Lightning Round ,Negative Mention ,83.44
CyberArk Software (CYBR),CYBR,12/11/2018,Discussed Stock,Buy Recommendations ,76.81
Cypress Semiconductor (CY),CY,12/11/2018,Lightning Round ,Negative Mention ,13.04
Cisco Systems (CSCO),CSCO,12/11/2018,Discussed Stock,Buy Recommendations ,47.09
Cronos Group (CRON),CRON,12/11/2018,Discussed Stock,Negative Mention ,12.82
Centene (CNC),CNC,12/11/2018,Discussed Stock,Buy Recommendations ,132.83
Canopy Growth (CGC),CGC,12/11/2018,Discussed Stock,Buy Recommendations ,33.16
Advanced Micro Devices (AMD),AMD,12/11/2018,Discussed Stock,Negative Mention ,19.98
Apple (AAPL),AAPL,12/11/2018,Discussed Stock,Negative Mention ,168.63
Xilinx (XLNX),XLNX,12/12/2018,Discussed Stock,Buy Recommendations ,90.54
Wix.com (WIX),WIX,12/12/2018,Guest Interview ,Buy Recommendations ,88.67
Visa (V),V,12/12/2018,Discussed Stock,Buy Recommendations ,137.8
United Continental (UAL),UAL,12/12/2018,Lightning Round ,Buy Recommendations ,89.63
Twitter (TWTR),TWTR,12/12/2018,Discussed Stock,Negative Mention ,36.25
Snap (SNAP),SNAP,12/12/2018,Discussed Stock,Negative Mention ,5.91
Signet Jewelers (SIG),SIG,12/12/2018,Guest Interview ,Buy Recommendations ,34.46
RH (RH),RH,12/12/2018,Discussed Stock,Buy Recommendations ,136.1
PacWest Bancorp (PACW),PACW,12/12/2018,Lightning Round ,Sell Recommendations ,35.45
Nucor (NUE),NUE,12/12/2018,Lightning Round ,Buy Recommendations ,56.3
Mastercard (MA),MA,12/12/2018,Discussed Stock,Buy Recommendations ,200.29
Southwest Airlines (LUV),LUV,12/12/2018,Lightning Round ,Negative Mention ,50.9
LAM Research (LRCX),LRCX,12/12/2018,Discussed Stock,Buy Recommendations ,138.45
FireEye (FEYE),FEYE,12/12/2018,Guest Interview ,Buy Recommendations ,19.52
Facebook (FB),FB,12/12/2018,Featured Stock,Buy Recommendations ,144.5
Dollar Tree (DLTR),DLTR,12/12/2018,Discussed Stock,Buy Recommendations ,84.58
CyrusOne (CONE),CONE,12/12/2018,Lightning Round ,Buy Recommendations ,58.1
American Express (AXP),AXP,12/12/2018,Discussed Stock,Buy Recommendations ,107.48
Apple (AAPL),AAPL,12/12/2018,Discussed Stock,Buy Recommendations ,169.1
Walmart (WMT),WMT,12/13/2018,Lightning Round ,Buy Recommendations ,92.96
Tencent Music (TME),TME,12/13/2018,Featured Stock,Negative Mention ,13.51
Procter & Gamble (PG),PG,12/13/2018,Discussed Stock,Positive Mention ,96.49
Innovative Industrial Pro (IIPR),IIPR,12/13/2018,Lightning Round ,Negative Mention ,51.75
IBM (IBM),IBM,12/13/2018,Lightning Round ,Positive Mention ,120.73
Goldman Sachs (GS),GS,12/13/2018,Discussed Stock,Negative Mention ,175.92
First Horizon National (FHN),FHN,12/13/2018,Lightning Round ,Buy Recommendations ,13.89
FedEx (FDX),FDX,12/13/2018,Discussed Stock,Negative Mention ,187.18
Edwards Lifesciences (EW),EW,12/13/2018,Lightning Round ,Buy Recommendations ,163.94
Clorox (CLX),CLX,12/13/2018,Discussed Stock,Positive Mention ,165.08
Appian (APPN),APPN,12/13/2018,Lightning Round ,Buy Recommendations ,26.65
AES Corp (AES),AES,12/13/2018,Lightning Round ,Buy Recommendations ,15.78
Adobe Systems (ADBE),ADBE,12/13/2018,Guest Interview ,Buy Recommendations ,248.08
Yeti Holdings (YETI),YETI,12/14/2018,Lightning Round ,Buy Recommendations ,13.77
Synchrony Financial (SYF),SYF,12/14/2018,Lightning Round ,Sell Recommendations ,24.1
Starbucks (SBUX),SBUX,12/14/2018,Guest Interview ,Buy Recommendations ,65.34
Red Hat (RHT),RHT,12/14/2018,Discussed Stock,Negative Mention ,176.5
Children's Place (PLCE),PLCE,12/14/2018,Lightning Round ,Positive Mention ,92.68
Oracle (ORCL),ORCL,12/14/2018,Discussed Stock,Negative Mention ,46.6
Okta (OKTA),OKTA,12/14/2018,Guest Interview ,Buy Recommendations ,66.81
Nike (NKE),NKE,12/14/2018,Discussed Stock,Buy Recommendations ,72.53
Micron Technology (MU),MU,12/14/2018,Discussed Stock,Negative Mention ,34.2
Southwest Airlines (LUV),LUV,12/14/2018,Lightning Round ,Positive Mention ,50.09
Carmax (KMX),KMX,12/14/2018,Discussed Stock,Negative Mention ,61.21
Johnson & Johnson (JNJ),JNJ,12/14/2018,Discussed Stock,Buy Recommendations ,133
IBM (IBM),IBM,12/14/2018,Discussed Stock,Positive Mention ,119.9
HealthEquity (HQY),HQY,12/14/2018,Lightning Round ,Negative Mention ,62.09
FedEx (FDX),FDX,12/14/2018,Discussed Stock,Negative Mention ,184.11
Darden Restaurants (DRI),DRI,12/14/2018,Discussed Stock,Positive Mention ,103.2
Delta Air Lines (DAL),DAL,12/14/2018,Lightning Round ,Positive Mention ,53.51
Costco (COST),COST,12/14/2018,Discussed Stock,Buy Recommendations ,207.06
Centene (CNC),CNC,12/14/2018,Guest Interview ,Buy Recommendations ,127.53
Bank of America (BAC),BAC,12/14/2018,Lightning Round ,Positive Mention ,24.48
Broadcom (AVGO),AVGO,12/14/2018,Discussed Stock,Buy Recommendations ,254.83
Advanced Micro Devices (AMD),AMD,12/14/2018,Discussed Stock,Buy Recommendations ,19.9
Adobe Systems (ADBE),ADBE,12/14/2018,Discussed Stock,Buy Recommendations ,230
Waste Management (WM),WM,12/17/2018,Lightning Round ,Buy Recommendations ,89.05
Winnebago Industries (WGO),WGO,12/17/2018,Lightning Round ,Sell Recommendations ,20.66
S&P Global (SPGI),SPGI,12/17/2018,Lightning Round ,Buy Recommendations ,166.29
Starbucks (SBUX),SBUX,12/17/2018,Guest Interview ,Buy Recommendations ,64.47
Roku (ROKU),ROKU,12/17/2018,Lightning Round ,Negative Mention ,32.12
Johnson & Johnson (JNJ),JNJ,12/17/2018,Guest Interview ,Buy Recommendations ,129.14
Goldman Sachs (GS),GS,12/17/2018,Discussed Stock,Buy Recommendations ,168.01
General Mills (GIS),GIS,12/17/2018,Lightning Round ,Buy Recommendations ,36.74
Fluor (FLR),FLR,12/17/2018,Lightning Round ,Positive Mention ,32.58
Diamondback Energy (FANG),FANG,12/17/2018,Lightning Round ,Sell Recommendations ,88.54
Cara Therapeutics (CARA),CARA,12/17/2018,Lightning Round ,Buy Recommendations ,13.98
BP (BP),BP,12/17/2018,Lightning Round ,Buy Recommendations ,38.41
Apache (APA),APA,12/17/2018,Lightning Round ,Negative Mention ,30.17
ZTO Express (ZTO),ZTO,12/18/2018,Lightning Round ,Sell Recommendations ,16.03
Walmart (WMT),WMT,12/18/2018,Guest Interview ,Buy Recommendations ,91.08
Trex (TREX),TREX,12/18/2018,Guest Interview ,Buy Recommendations ,58.56
Teladoc (TDOC),TDOC,12/18/2018,Lightning Round ,Positive Mention ,47.99
StitchFix (SFIX),SFIX,12/18/2018,Lightning Round ,Sell Recommendations ,19.64
Kinder Morgan (KMI),KMI,12/18/2018,Lightning Round ,Negative Mention ,15.53
Kraft Heinz (KHC),KHC,12/18/2018,Lightning Round ,Negative Mention ,46.15
Johnson & Johnson (JNJ),JNJ,12/18/2018,Discussed Stock,Positive Mention ,130.42
Interactive Brokers (IBKR),IBKR,12/18/2018,Lightning Round ,Negative Mention ,54.66
Hanesbrands (HBI),HBI,12/18/2018,Lightning Round ,Sell Recommendations ,12.77
Goldman Sachs (GS),GS,12/18/2018,Discussed Stock,Positive Mention ,171.5
Enbridge (ENB),ENB,12/18/2018,Lightning Round ,Buy Recommendations ,30.72
DowDuPont (DWDP),DWDP,12/18/2018,Lightning Round ,Buy Recommendations ,52.29
Devon Energy (DVN),DVN,12/18/2018,Lightning Round ,Negative Mention ,24.41
Boeing (BA),BA,12/18/2018,Guest Interview ,Buy Recommendations ,328.06
Washington Prime Group (WPG),WPG,12/19/2018,Lightning Round ,Sell Recommendations ,4.89
Teva Pharmaceuticals (TEVA),TEVA,12/19/2018,Lightning Round ,Sell Recommendations ,16.29
Micron Technology (MU),MU,12/19/2018,Guest Interview ,Negative Mention ,31.41
Eli Lilly (LLY),LLY,12/19/2018,Guest Interview ,Buy Recommendations ,109.11
Johnson & Johnson (JNJ),JNJ,12/19/2018,Discussed Stock,Buy Recommendations ,127.61
Goldman Sachs (GS),GS,12/19/2018,Discussed Stock,Positive Mention ,169.25
Facebook (FB),FB,12/19/2018,Discussed Stock,Buy Recommendations ,133.24
Ford Motor (F),F,12/19/2018,Lightning Round ,Sell Recommendations ,8.32
CyberArk Software (CYBR),CYBR,12/19/2018,Lightning Round ,Buy Recommendations ,71.07
Allergan (AGN),AGN,12/19/2018,Discussed Stock,Positive Mention ,136.56
Apple (AAPL),AAPL,12/19/2018,Discussed Stock,Negative Mention ,160.89
TherapeuticsMD (TXMD),TXMD,12/20/2018,Lightning Round ,Positive Mention ,3.56
Paychex (PAYX),PAYX,12/20/2018,Guest Interview ,Buy Recommendations ,64.96
Palo Alto Networks (PANW),PANW,12/20/2018,Lightning Round ,Buy Recommendations ,179.44
Owens Corning (OC),OC,12/20/2018,Lightning Round ,Sell Recommendations ,43.18
Medtronic (MDT),MDT,12/20/2018,Lightning Round ,Buy Recommendations ,89.9
Hormel Foods (HRL),HRL,12/20/2018,Lightning Round ,Buy Recommendations ,42.79
General Electric (GE),GE,12/20/2018,Featured Stock,Negative Mention ,7.44
CyberArk Software (CYBR),CYBR,12/20/2018,Lightning Round ,Buy Recommendations ,69.37
Cisco Systems (CSCO),CSCO,12/20/2018,Lightning Round ,Buy Recommendations ,42.49
Carnival (CCL),CCL,12/20/2018,Discussed Stock,Negative Mention ,49.79
The Blackstone Group (BX),BX,12/20/2018,Lightning Round ,Buy Recommendations ,27.71
Accenture (ACN),ACN,12/20/2018,Discussed Stock,Negative Mention ,143.5
Abiomed (ABMD),ABMD,12/20/2018,Lightning Round ,Positive Mention ,284.28
United Rentals (URI),URI,1/3/2019,Discussed Stock,Negative Mention ,101.98
UnitedHealth Group (UNH),UNH,1/3/2019,Lightning Round ,Buy Recommendations ,236.85
Take-Two Interactive (TTWO),TTWO,1/3/2019,Discussed Stock,Buy Recommendations ,99.15
Tiffany & Co (TIF),TIF,1/3/2019,Discussed Stock,Negative Mention ,79.59
AT&T (T),T,1/3/2019,Lightning Round ,Buy Recommendations ,29.58
Schlumberger (SLB),SLB,1/3/2019,Discussed Stock,Buy Recommendations ,37.6
Starbucks (SBUX),SBUX,1/3/2019,Discussed Stock,Buy Recommendations ,61.53
Perrigo (PRGO),PRGO,1/3/2019,Discussed Stock,Negative Mention ,39.87
Pepsico (PEP),PEP,1/3/2019,Discussed Stock,Buy Recommendations ,108.26
PG&E (PCG),PCG,1/3/2019,Discussed Stock,Buy Recommendations ,23.95
Realty Income (O),O,1/3/2019,Discussed Stock,Buy Recommendations ,62.48
NVIDIA (NVDA),NVDA,1/3/2019,Discussed Stock,Positive Mention ,127.99
Nektar Therapeutics (NKTR),NKTR,1/3/2019,Discussed Stock,Negative Mention ,31.58
Newfield Exploration (NFX),NFX,1/3/2019,Discussed Stock,Positive Mention ,15.28
Newmont Mining (NEM),NEM,1/3/2019,Discussed Stock,Negative Mention ,34.38
Marathon Oil (MRO),MRO,1/3/2019,Discussed Stock,Buy Recommendations ,14.62
Coca-Cola (KO),KO,1/3/2019,Discussed Stock,Buy Recommendations ,46.64
Barrick Gold (GOLD),GOLD,1/3/2019,Discussed Stock,Buy Recommendations ,13
Dollar Tree (DLTR),DLTR,1/3/2019,Discussed Stock,Buy Recommendations ,90.76
Coty (COTY),COTY,1/3/2019,Discussed Stock,Negative Mention ,6.79
Cabot Oil & Gas (COG),COG,1/3/2019,Lightning Round ,Sell Recommendations ,23.38
Chicago Mercantile Exchan (CME),CME,1/3/2019,Discussed Stock,Buy Recommendations ,181.5
Clorox (CLX),CLX,1/3/2019,Discussed Stock,Buy Recommendations ,152.03
Church & Dwight (CHD),CHD,1/3/2019,Discussed Stock,Buy Recommendations ,64.29
Canopy Growth (CGC),CGC,1/3/2019,Lightning Round ,Positive Mention ,28.11
Activision Blizzard (ATVI),ATVI,1/3/2019,Discussed Stock,Buy Recommendations ,45.36
AMN Healthcare Services (AMN),AMN,1/3/2019,Guest Interview ,Buy Recommendations ,54.41
Align Technology (ALGN),ALGN,1/3/2019,Discussed Stock,Negative Mention ,184.78
Barrick Gold (ABX),ABX,1/3/2019,Discussed Stock,Buy Recommendations ,13
AbbVie (ABBV),ABBV,1/3/2019,Discussed Stock,Positive Mention ,86.29
Exxon Mobil (XOM),XOM,1/4/2019,Discussed Stock,Buy Recommendations ,71.15
Verizon (VZ),VZ,1/4/2019,Discussed Stock,Positive Mention ,56.36
United Technologies (UTX),UTX,1/4/2019,Discussed Stock,Buy Recommendations ,107.02
Constellation Brands (STZ),STZ,1/4/2019,Discussed Stock,Positive Mention ,166.62
Qualcomm (QCOM),QCOM,1/4/2019,Lightning Round ,Sell Recommendations ,56.6
Procter & Gamble (PG),PG,1/4/2019,Discussed Stock,Positive Mention ,92.49
Merck (MRK),MRK,1/4/2019,Discussed Stock,Positive Mention ,76.27
Momo (MOMO),MOMO,1/4/2019,Lightning Round ,Sell Recommendations ,25.41
Lennar (LEN),LEN,1/4/2019,Discussed Stock,Positive Mention ,41.21
Coca-Cola (KO),KO,1/4/2019,Discussed Stock,Buy Recommendations ,47.57
KB Home (KBH),KBH,1/4/2019,Discussed Stock,Positive Mention ,20.66
IBM (IBM),IBM,1/4/2019,Discussed Stock,Negative Mention ,117.32
LM Ericsson (ERIC),ERIC,1/4/2019,Lightning Round ,Sell Recommendations ,8.69
Delta Air Lines (DAL),DAL,1/4/2019,Discussed Stock,Buy Recommendations ,47.79
CVS Health (CVS),CVS,1/4/2019,Featured Stock,Buy Recommendations ,66.82
CIENA (CIEN),CIEN,1/4/2019,Lightning Round ,Buy Recommendations ,34.56
Bed Bath & Beyond (BBBY),BBBY,1/4/2019,Discussed Stock,Negative Mention ,11.95
AbbVie (ABBV),ABBV,1/4/2019,Lightning Round ,Positive Mention ,89.07
Apple (AAPL),AAPL,1/4/2019,Discussed Stock,Positive Mention ,148.26
Texas Instruments (TXN),TXN,1/7/2019,Discussed Stock,Buy Recommendations ,94.5
Stamps.com (STMP),STMP,1/7/2019,Lightning Round ,Negative Mention ,161.57
Transocean (RIG),RIG,1/7/2019,Lightning Round ,Hold or Neutral ,8.28
Novartis AG (NVS),NVS,1/7/2019,Guest Interview ,Buy Recommendations ,84.88
Micron Technology (MU),MU,1/7/2019,Discussed Stock,Buy Recommendations ,34
Medtronic (MDT),MDT,1/7/2019,Lightning Round ,Buy Recommendations ,82.45
Kraft Heinz (KHC),KHC,1/7/2019,Lightning Round ,Sell Recommendations ,45.33
Intel (INTC),INTC,1/7/2019,Discussed Stock,Buy Recommendations ,47.44
HMS Holdings (HMSY),HMSY,1/7/2019,Lightning Round ,Sell Recommendations ,29.37
Centene (CNC),CNC,1/7/2019,Lightning Round ,Buy Recommendations ,114.5
Bausch Health (BHC),BHC,1/7/2019,Guest Interview ,Buy Recommendations ,22.36
Broadcom (AVGO),AVGO,1/7/2019,Discussed Stock,Buy Recommendations ,237.98
Amgen (AMGN),AMGN,1/7/2019,Guest Interview ,Buy Recommendations ,198.07
Advanced Micro Devices (AMD),AMD,1/7/2019,Discussed Stock,Buy Recommendations ,20.57
Under Armour (UAA),UAA,1/8/2019,Lightning Round ,Buy Recommendations ,18.87
Tilray (TLRY),TLRY,1/8/2019,Lightning Round ,Sell Recommendations ,83.26
Netflix (NFLX),NFLX,1/8/2019,Discussed Stock,Negative Mention ,320.27
Southwest Airlines (LUV),LUV,1/8/2019,Lightning Round ,Buy Recommendations ,47.54
Facebook (FB),FB,1/8/2019,Discussed Stock,Buy Recommendations ,142.53
Canopy Growth (CGC),CGC,1/8/2019,Lightning Round ,Buy Recommendations ,29.64
Bank of America (BAC),BAC,1/8/2019,Lightning Round ,Buy Recommendations ,25.51
Allergan (AGN),AGN,1/8/2019,Guest Interview ,Buy Recommendations ,145.6
Apple (AAPL),AAPL,1/8/2019,Guest Interview ,Buy Recommendations ,150.75
Viacom (VIAB),VIAB,1/9/2019,Lightning Round ,Buy Recommendations ,29
Skyworks Solutions (SWKS),SWKS,1/9/2019,Discussed Stock,Buy Recommendations ,67.69
Constellation Brands (STZ),STZ,1/9/2019,Guest Interview ,Buy Recommendations ,150.94
NVIDIA (NVDA),NVDA,1/9/2019,Discussed Stock,Buy Recommendations ,142.58
Micron Technology (MU),MU,1/9/2019,Discussed Stock,Buy Recommendations ,35.44
LAM Research (LRCX),LRCX,1/9/2019,Discussed Stock,Buy Recommendations ,144
Logitech International (LOGI),LOGI,1/9/2019,Lightning Round ,Buy Recommendations ,33.24
Lennar (LEN),LEN,1/9/2019,Discussed Stock,Buy Recommendations ,46.29
Turtle Beach (HEAR),HEAR,1/9/2019,Lightning Round ,Buy Recommendations ,16.36
DexCom (DXCM),DXCM,1/9/2019,Guest Interview ,Buy Recommendations ,138.75
Chevron (CVX),CVX,1/9/2019,Lightning Round ,Positive Mention ,113.27
Centene (CNC),CNC,1/9/2019,Lightning Round ,Buy Recommendations ,118.23
Churchill Downs (CHDN),CHDN,1/9/2019,Lightning Round ,Buy Recommendations ,255.1
Canopy Growth (CGC),CGC,1/9/2019,Guest Interview ,Buy Recommendations ,33.6
CBS Corp (CBS),CBS,1/9/2019,Lightning Round ,Positive Mention ,47.8
Boyd Gaming (BYD),BYD,1/9/2019,Lightning Round ,Buy Recommendations ,25.61
BP (BP),BP,1/9/2019,Lightning Round ,Buy Recommendations ,40.36
AutoZone (AZO),AZO,1/9/2019,Lightning Round ,Buy Recommendations ,820.36
Broadcom (AVGO),AVGO,1/9/2019,Discussed Stock,Buy Recommendations ,246.28
Take-Two Interactive (TTWO),TTWO,1/10/2019,Lightning Round ,Buy Recommendations ,110
Tandem Diabetes Care (TNDM),TNDM,1/10/2019,Lightning Round ,Negative Mention ,42.2
Target (TGT),TGT,1/10/2019,Discussed Stock,Buy Recommendations ,68.29
Starwood Property Trust (STWD),STWD,1/10/2019,Lightning Round ,Buy Recommendations ,20.51
Sina (SINA),SINA,1/10/2019,Lightning Round ,Sell Recommendations ,59.96
Public Service Enterprise (PEG),PEG,1/10/2019,Lightning Round ,Positive Mention ,52
Annaly Capital (NLY),NLY,1/10/2019,Lightning Round ,Sell Recommendations ,9.77
Microsoft (MSFT),MSFT,1/10/2019,Discussed Stock,Buy Recommendations ,103.6
Macy's (M),M,1/10/2019,Discussed Stock,Buy Recommendations ,26.11
Lennar (LEN),LEN,1/10/2019,Discussed Stock,Negative Mention ,45.17
Ladder Capital (LADR),LADR,1/10/2019,Lightning Round ,Sell Recommendations ,16.62
Kohl's (KSS),KSS,1/10/2019,Discussed Stock,Buy Recommendations ,66.54
KB Home (KBH),KBH,1/10/2019,Discussed Stock,Negative Mention ,21
Intel (INTC),INTC,1/10/2019,Guest Interview ,Buy Recommendations ,48.56
DexCom (DXCM),DXCM,1/10/2019,Lightning Round ,Buy Recommendations ,141.9
Dollar Tree (DLTR),DLTR,1/10/2019,Discussed Stock,Buy Recommendations ,96.41
Salesforce.com (CRM),CRM,1/10/2019,Guest Interview ,Buy Recommendations ,147.04
Costco (COST),COST,1/10/2019,Discussed Stock,Buy Recommendations ,210.64
Cliffs Natural Resources (CLF),CLF,1/10/2019,Lightning Round ,Negative Mention ,8.76
American Electric Power (AEP),AEP,1/10/2019,Lightning Round ,Buy Recommendations ,74.72
Apple (AAPL),AAPL,1/10/2019,Discussed Stock,Buy Recommendations ,153.8
American Airlines (AAL),AAL,1/10/2019,Discussed Stock,Negative Mention ,32.04
Weight Watchers (WTW),WTW,1/11/2019,Lightning Round ,Sell Recommendations ,33.3
Wingstop (WING),WING,1/11/2019,Lightning Round ,Negative Mention ,69.99
Wells Fargo (WFC),WFC,1/11/2019,Discussed Stock,Positive Mention ,47.87
VF Corp (VFC),VFC,1/11/2019,Discussed Stock,Negative Mention ,71.46
UnitedHealth Group (UNH),UNH,1/11/2019,Discussed Stock,Positive Mention ,247.67
United Continental (UAL),UAL,1/11/2019,Discussed Stock,Buy Recommendations ,80.07
Two Harbors (TWO),TWO,1/11/2019,Lightning Round ,Sell Recommendations ,13.92
Spotify (SPOT),SPOT,1/11/2019,Lightning Round ,Buy Recommendations ,120.52
Schlumberger (SLB),SLB,1/11/2019,Discussed Stock,Negative Mention ,41.74
JM Smucker (SJM),SJM,1/11/2019,Lightning Round ,Sell Recommendations ,102.19
Starbucks (SBUX),SBUX,1/11/2019,Discussed Stock,Negative Mention ,63.73
PVH Corp (PVH),PVH,1/11/2019,Discussed Stock,Buy Recommendations ,105.77
Novartis AG (NVS),NVS,1/11/2019,Discussed Stock,Buy Recommendations ,87.77
Nike (NKE),NKE,1/11/2019,Discussed Stock,Positive Mention ,76.04
Netflix (NFLX),NFLX,1/11/2019,Discussed Stock,Negative Mention ,337.59
Morgan Stanley (MS),MS,1/11/2019,Discussed Stock,Buy Recommendations ,41.74
McCormick (MKC),MKC,1/11/2019,Lightning Round ,Buy Recommendations ,140.12
Lululemon Athletica (LULU),LULU,1/11/2019,Discussed Stock,Positive Mention ,132.16
Lockheed Martin (LMT),LMT,1/11/2019,Lightning Round ,Negative Mention ,277.73
JPMorgan Chase (JPM),JPM,1/11/2019,Discussed Stock,Positive Mention ,99.91
Intel (INTC),INTC,1/11/2019,Discussed Stock,Buy Recommendations ,48.93
