Company,Ticker,Date,Segement,Call,Price
Morgan Stanley (MS),MS,4/25/2016,Discussed Stock,Positive Mention ,27.53
Southwest Airlines (LUV),LUV,4/25/2016,Featured Stock,Buy Recommendations ,46.85
KB Home (KBH),KBH,4/25/2016,Lightning Round ,Buy Recommendations ,14.14
IMAX (IMAX),IMAX,4/25/2016,Guest Interview ,Buy Recommendations ,32.55
Hewlett Packard Enterpris (HPE),HPE,4/25/2016,Lightning Round ,Buy Recommendations ,17.21
Halliburton (HAL),HAL,4/25/2016,Discussed Stock,Positive Mention ,40.04
Alphabet (GOOGL),GOOGL,4/25/2016,Discussed Stock,Negative Mention ,742.21
Enterprise Products Partn (EPD),EPD,4/25/2016,Lightning Round ,Buy Recommendations ,27.17
CVS Health (CVS),CVS,4/25/2016,Lightning Round ,Buy Recommendations ,101.95
CSX (CSX),CSX,4/25/2016,Discussed Stock,Positive Mention ,27.14
Bank of America (BAC),BAC,4/25/2016,Discussed Stock,Positive Mention ,14.96
TG Therapeutics (TGTX),TGTX,4/26/2016,Lightning Round ,Negative Mention ,9.64
Constellation Brands (STZ),STZ,4/26/2016,Lightning Round ,Buy Recommendations ,156.25
Boston Beer (SAM),SAM,4/26/2016,Lightning Round ,Negative Mention ,156.43
Quintiles Transnational (Q),Q,4/26/2016,Lightning Round ,Buy Recommendations ,70.08
Pioneer Natural Resources (PXD),PXD,4/26/2016,Discussed Stock,Buy Recommendations ,165.36
Proofpoint (PFPT),PFPT,4/26/2016,Guest Interview ,Buy Recommendations ,57.69
Palo Alto Networks (PANW),PANW,4/26/2016,Lightning Round ,Buy Recommendations ,150.8
Norfolk Southern (NSC),NSC,4/26/2016,Featured Stock,Buy Recommendations ,93.05
MasTec (MTZ),MTZ,4/26/2016,Discussed Stock,Buy Recommendations ,22.34
3M (MMM),MMM,4/26/2016,Discussed Stock,Buy Recommendations ,166.18
Lockheed Martin (LMT),LMT,4/26/2016,Discussed Stock,Buy Recommendations ,232.16
Johnson & Johnson (JNJ),JNJ,4/26/2016,Discussed Stock,Buy Recommendations ,112.91
Honeywell (HON),HON,4/26/2016,Discussed Stock,Buy Recommendations ,114.8
General Electric (GE),GE,4/26/2016,Discussed Stock,Buy Recommendations ,30.9
Fitbit (FIT),FIT,4/26/2016,Lightning Round ,Positive Mention ,17.39
Eastman Chemical (EMN),EMN,4/26/2016,Discussed Stock,Buy Recommendations ,76.89
Chipotle Mexican Grill (CMG),CMG,4/26/2016,Lightning Round ,Positive Mention ,445.92
BJ's Restaurants (BJRI),BJRI,4/26/2016,Lightning Round ,Negative Mention ,44.94
General Cable (BGC),BGC,4/26/2016,Lightning Round ,Buy Recommendations ,13.44
Apple (AAPL),AAPL,4/26/2016,Discussed Stock,Positive Mention ,104.35
Alcoa (AA),AA,4/26/2016,Featured Stock,Buy Recommendations ,10.66
Exxon Mobil (XOM),XOM,4/27/2016,Discussed Stock,Buy Recommendations ,88.46
WestRock (WRK),WRK,4/27/2016,Lightning Round ,Buy Recommendations ,41.63
Wells Fargo (WFC),WFC,4/27/2016,Discussed Stock,Buy Recommendations ,50.93
Vector Group (VGR),VGR,4/27/2016,Lightning Round ,Positive Mention ,21.12
United Technologies (UTX),UTX,4/27/2016,Discussed Stock,Buy Recommendations ,105.89
Twitter (TWTR),TWTR,4/27/2016,Discussed Stock,Negative Mention ,14.86
Norwegian Cruise Line (NCLH),NCLH,4/27/2016,Lightning Round ,Buy Recommendations ,49.8
Microsoft (MSFT),MSFT,4/27/2016,Discussed Stock,Negative Mention ,50.94
Medtronic (MDT),MDT,4/27/2016,Lightning Round ,Buy Recommendations ,79.45
Southwest Airlines (LUV),LUV,4/27/2016,Lightning Round ,Buy Recommendations ,45.57
Lockheed Martin (LMT),LMT,4/27/2016,Discussed Stock,Buy Recommendations ,233.65
JPMorgan Chase (JPM),JPM,4/27/2016,Discussed Stock,Buy Recommendations ,64.11
Honeywell (HON),HON,4/27/2016,Discussed Stock,Buy Recommendations ,115.44
Hawaiian Holdings (HA),HA,4/27/2016,Lightning Round ,Negative Mention ,44.24
Alphabet (GOOGL),GOOGL,4/27/2016,Discussed Stock,Buy Recommendations ,721.46
General Electric (GE),GE,4/27/2016,Discussed Stock,Buy Recommendations ,30.93
Facebook (FB),FB,4/27/2016,Discussed Stock,Buy Recommendations ,108.89
Edwards Lifesciences (EW),EW,4/27/2016,Lightning Round ,Buy Recommendations ,108.93
Chipotle Mexican Grill (CMG),CMG,4/27/2016,Guest Interview ,Buy Recommendations ,417.22
Chubb (CB),CB,4/27/2016,Lightning Round ,Buy Recommendations ,118.4
Buffalo Wild Wings (BWLD),BWLD,4/27/2016,Guest Interview ,Buy Recommendations ,129
Boston Scientific (BSX),BSX,4/27/2016,Lightning Round ,Buy Recommendations ,21.89
Baxter International (BAX),BAX,4/27/2016,Lightning Round ,Buy Recommendations ,44.18
Boeing (BA),BA,4/27/2016,Discussed Stock,Positive Mention ,137.08
American International Gr (AIG),AIG,4/27/2016,Lightning Round ,Positive Mention ,56.63
Apple (AAPL),AAPL,4/27/2016,Discussed Stock,Positive Mention ,97.82
Whole Foods Markets (WFM),WFM,4/28/2016,Lightning Round ,Positive Mention ,29.79
Red Robin Gourmet Burgers (RRGB),RRGB,4/28/2016,Lightning Round ,Sell Recommendations ,64
Reynolds American (RAI),RAI,4/28/2016,Lightning Round ,Sell Recommendations ,49.31
PayPal (PYPL),PYPL,4/28/2016,Discussed Stock,Buy Recommendations ,40.07
Philip Morris Internation (PM),PM,4/28/2016,Lightning Round ,Buy Recommendations ,97.35
NXP Semiconductors (NXPI),NXPI,4/28/2016,Guest Interview ,Buy Recommendations ,85.87
McDonald's (MCD),MCD,4/28/2016,Discussed Stock,Positive Mention ,127.92
Mastercard (MA),MA,4/28/2016,Discussed Stock,Buy Recommendations ,97.18
Southwest Airlines (LUV),LUV,4/28/2016,Lightning Round ,Buy Recommendations ,44.06
LinkedIn (LNKD),LNKD,4/28/2016,Discussed Stock,Positive Mention ,123.01
Goldman Sachs (GS),GS,4/28/2016,Lightning Round ,Buy Recommendations ,164.29
Greenhill (GHL),GHL,4/28/2016,Lightning Round ,Sell Recommendations ,22.06
Facebook (FB),FB,4/28/2016,Featured Stock,Buy Recommendations ,116.73
Expedia (EXPE),EXPE,4/28/2016,Discussed Stock,Positive Mention ,106.99
Domino's Pizza (DPZ),DPZ,4/28/2016,Guest Interview ,Buy Recommendations ,120.47
CyberArk Software (CYBR),CYBR,4/28/2016,Lightning Round ,Buy Recommendations ,39.58
Bristol-Myers Squibb (BMY),BMY,4/28/2016,Discussed Stock,Buy Recommendations ,72.26
Avnet (AVT),AVT,4/28/2016,Guest Interview ,Buy Recommendations ,41.9
Amazon (AMZN),AMZN,4/28/2016,Discussed Stock,Buy Recommendations ,602
Alaska Air Group (ALK),ALK,4/28/2016,Lightning Round ,Negative Mention ,72.01
Whole Foods Markets (WFM),WFM,4/29/2016,Discussed Stock,Hold or Neutral ,29.08
Robert Half International (RHI),RHI,4/29/2016,Lightning Round ,Sell Recommendations ,38.31
